"Id","baseMean","log2foldchange.LLO.vs.Neg","BH.adjusted.p.values","LLO1_raw","LLO2_raw","LLO3_raw","Neg1_raw","Neg2_raw","Neg3_raw","LLO1_norm","LLO2_norm","LLO3_norm","Neg1_norm","Neg2_norm","Neg3_norm"
"3820","ENSG00000141682",3244.61519891796,1.01841523639282,4.45300340401399e-05,55,39,31,11,4,6,53.0589723183763,36.1282399468022,31.85675645088,12.0273340036081,4.42692423423849,5.16585380969941
"3964","ENSG00000267519",3190.38553651857,1.99981957252583,2.09479589563337e-29,35,36,44,12,15,12,33.7648005662395,33.349144566279,45.2160414141523,13.1207280039361,16.6009658783943,10.3317076193988
"4135","ENSG00000070495",2956.41322142728,1.02292772563557,3.01406252274189e-07,3596,3662,4315,792,753,864,3469.0920810342,3392.34909449204,4434.25497050153,865.968048259782,833.368487095396,743.882948596715
"4239","ENSG00000167173",2875.648323083,-1.03012059096366,2.32143329951946e-06,4854,4883,3846,949,1104,1191,4682.69548424361,4523.440914365,3952.29307451886,1037.63090631128,1221.83108864982,1025.42198122533
"4492","ENSG00000013441",2863.52741499436,1.11943473153746,3.57255852562092e-05,2238,2031,2840,324,316,340,2159.01781906411,1881.44757261424,2918.48994582256,354.259656106274,349.727014504841,292.731715882967
"4508","ENSG00000163874",2861.82244876923,1.99241458259125,1.78408543819913e-17,5337,6912,4896,1529,2287,3025,5148.64973205772,6403.03575672556,5031.31224462931,1671.79942650152,2531.09393092586,2604.45129572345
"4560","ENSG00000184205",2792.29696606168,1.106787253923,7.71795176633398e-11,5709,6914,5463,1521,2291,2544,5507.52132664746,6404.88848697924,5613.98259648896,1663.0522744989,2535.5208551601,2190.32201531255
"4579","ENSG00000113916",2740.55224155232,2.00251512214797,3.51986015826085e-34,47,35,58,118,63,137,45.3413036175216,32.4227794394379,59.6029636822917,129.020492038705,69.7240566892562,117.953661988137
"4611","ENSG00000124216",2433.27658511082,3.62946560372759,4.39148382031385e-13,387,491,536,76,65,125,373.342223403848,454.845277278971,550.813595408764,83.0979440249286,71.9375188063755,107.621954368738
"4707","ENSG00000120129",2420.12620950027,3.18057987732194,1.46369503237707e-39,138,148,141,47,63,95,133.129785089744,137.10203877248,144.896859986261,51.3895180154164,69.7240566892562,81.7926853202407
"4782","ENSG00000096717",2350.50230252479,1.12788639465984,9.91712482405957e-07,49,55,29,16,20,10,47.2707207927353,50.9500819762595,29.8014818411458,17.4943040052481,22.1346211711925,8.60975634949902
"4821","ENSG00000113070",2289.81927166328,2.20940522785814,1.39726519403907e-36,2228,2118,2240,563,494,494,2149.37073318804,1962.04133864941,2301.9075629023,615.580822184668,546.725142928454,425.321963665252
"4824","ENSG00000187678",2200.20610612753,2.47317615298744,1.79989676466616e-51,1703,1674,1710,236,234,318,1642.89872469445,1550.73522233197,1757.25979132274,258.04098407741,258.975067702952,273.790251914069
"4908","ENSG00000126368",2016.74535202129,1.02888103559267,7.35434470581895e-08,1457,1211,1270,37,62,70,1405.58041214317,1121.82816860455,1305.09937718121,40.4555780121363,68.6173256306966,60.2682944464932
"4955","ENSG00000209082",1989.06681629722,1.28106529031503,1.38489926618392e-10,96,82,90,16,34,41,92.6120244102568,75.9619404009687,92.4873574380388,17.4943040052481,37.6288559910272,35.300001032946
"5009","ENSG00000184557",1941.17133203366,2.05532390134632,1.06972289742505e-19,3953,3231,6103,491,399,539,3813.49304680985,2993.08572482354,6271.6704716039,536.856454161052,441.585692365289,464.065867237997
"5054","ENSG00000205189",1876.6230472167,1.36112351806074,1.89946854600463e-08,21,42,38,3,0,1,20.2588803397437,38.9073353273255,39.0502175849497,3.28018200098402,0,0.860975634949902
"5092","ENSG00000005073",1795.2129938419,-1.03611967761875,1.45017697750661e-06,8036,6651,16422,128,135,145,7752.39821000858,6161.25445862004,16875.8598205275,139.954432041985,149.408692905549,124.841467067736
"5248","ENSG00000170542",1791.87657899986,1.06438885334101,1.72343611917695e-08,9518,10592,8695,2915,4282,4989,9182.09633684192,9812.05942350074,8935.30636581942,3187.24351095614,4739.0223927523,4295.40744276506
"5321","ENSG00000127528",1779.90074611336,1.77102115234727,3.31878984576253e-18,230,166,314,5,1,2,221.882975149574,153.77661105562,322.678113728269,5.46697000164004,1.10673105855962,1.7219512698998
"5372","ENSG00000164920",1750.43710529469,2.81324107365258,2.29823440512157e-70,12312,10542,10733,3577,3508,4238,11877.4921306154,9765.74116715869,11029.6311931386,3911.07033917328,3882.41255342716,3648.81474091768
"5429","ENSG00000177352",1742.49463713692,-1.09814542894159,1.26920375996706e-07,53,42,73,2,14,13,51.1295551431626,38.9073353273255,75.0175232552981,2.18678800065602,15.4942348198347,11.1926832543487
"5484","ENSG00000073756",1662.56059817805,1.43255243630924,4.16327175615136e-08,3796,2939,6932,395,270,419,3662.03379855557,2722.58710778594,7123.58179733872,431.890630129563,298.817385811098,360.748791044009
"5623","ENSG00000175906",1645.25698151269,1.58346239757492,1.52088719404322e-15,1323,1293,1288,416,416,465,1276.30946140385,1197.79010900552,1323.59684866882,454.851904136451,460.400120360803,400.353670251705
"5698","ENSG00000139318",1613.06205200077,2.14267146656013,2.00543514693768e-39,82458,67273,80382,533,498,690,79547.940716885,62319.3611779801,82603.5418398271,582.779002174828,551.152067162692,594.073188115432
"5776","ENSG00000007944",1581.02493537916,1.85771797999901,2.34097457741239e-23,30,31,31,3,1,7,28.9412576282053,28.7173189320736,31.85675645088,3.28018200098402,1.10673105855962,6.02682944464931
"5814","ENSG00000085433",1497.54780046081,1.44494968276191,2.00689571579482e-11,2998,2620,2725,1357,1231,1318,2892.19634564531,2427.07663232364,2800.31165576284,1483.73565844511,1362.3859330869,1134.76588686397
"5927","ENSG00000174010",1487.65739345739,1.41038249505869,1.18017948490002e-08,2981,2392,3083,845,596,971,2875.796299656,2215.86538340387,3168.20581090526,923.917930277166,659.611710901535,836.007341536355
"5977","ENSG00000153234",1425.03667890841,3.04735529428069,4.95965472726694e-56,4201,3944,5852,2124,2208,2394,4052.74077653634,3653.58406026123,6013.73350808226,2322.36885669669,2443.66217729965,2061.17567007007
"5991","ENSG00000118515",1333.49126058635,2.01590892543343,7.29889911604713e-27,67,45,53,9,13,14,64.6354753696584,41.6864307078487,54.4647771579562,9.84054600295207,14.3875037612751,12.0536588892986
"5999","ENSG00000115844",1325.94562066583,2.80487164575478,8.75264857187645e-44,179,185,152,53,45,59,172.682837181625,171.3775484656,156.200870339799,57.9498820173844,49.802897635183,50.7975624620442
