"Id","baseMean","log2foldchange.LLO.vs.Neg","BH.adjusted.p.values","LLO1_raw","LLO2_raw","LLO3_raw","Neg1_raw","Neg2_raw","Neg3_raw","LLO1_norm","LLO2_norm","LLO3_norm","Neg1_norm","Neg2_norm","Neg3_norm"
"13128","ENSG00000157429",210.936017825018,-1.36501297924119,7.42802056964057e-09,71,71,58,7,13,9,68.4943097200858,65.7719240057168,59.6029636822917,7.65375800229605,14.3875037612751,7.74878071454912
"13148","ENSG00000279253",207.327578052052,1.03537704448502,2.7145538816438e-05,85,87,105,21,16,18,82.0002299465816,80.5937660351742,107.901917011045,22.9612740068882,17.707696936954,15.4975614290982
"13239","ENSG00000289009",202.538687466404,-1.03204230008537,2.23391896515712e-05,54,72,119,3,0,2,52.0942637307695,66.6982891325579,122.288839279185,3.28018200098402,0,1.7219512698998
"13334","ENSG00000248593",202.415670229602,1.24987574223276,2.12353908429377e-07,1285,1364,1984,614,488,472,1239.65053507479,1263.56203301124,2038.83241285632,671.343916201397,540.084756577096,406.380499696354
"13483","ENSG00000274104",202.01101608748,-1.01014655476375,0.000160545675014719,7821,6899,5966,1409,1284,1519,7544.98586367311,6390.99301007663,6130.88416083711,1540.59214646216,1421.04267919056,1307.8219894889
"13518","ENSG00000179476",201.668927950798,-1.05223690809512,0.000107463200372882,5473,5845,4878,1937,2051,2334,5279.85009997225,5414.60416638613,5012.8147731417,2117.90417863535,2269.90540110579,2009.51713197307
"13568","ENSG00000261094",200.534230814048,1.31970860269483,3.09654501791617e-06,410,357,252,156,125,109,395.530520918805,330.712350282266,258.964600826509,170.569464051169,138.341382319953,93.8463442095393
"13597","ENSG00000240370",198.597955276414,1.61997559342594,1.92982179457608e-11,183,214,291,12,30,30,176.541671532052,198.242137143992,299.042455716325,13.1207280039361,33.2019317567887,25.8292690484971
"13614","ENSG00000259230",196.142062557944,-1.33608024841826,2.10189660923318e-06,2291,2450,1952,499,983,937,2210.14737420727,2269.59456076065,2005.94801910058,545.603606163676,1087.91663056411,806.734169948058
"13688","ENSG00000135625",192.41239628328,2.14380589552595,1.28769644094824e-16,30,25,24,4,5,3,28.9412576282053,23.1591281710271,24.6632953168103,4.37357600131203,5.53365529279811,2.58292690484971
"13713","ENSG00000277502",182.554994362753,1.08525540521546,0.00143215676465609,66,99,57,121,144,180,63.6707667820516,91.7101475572671,58.5753263774246,132.300674039689,159.369272432586,154.975614290982
"13893","ENSG00000143387",174.136651609098,1.1257506007474,0.00101098484638969,167,159,149,411,346,431,161.106334130343,147.292055167732,153.117958425198,449.384934134811,382.928946261629,371.080498663408
"13895","ENSG00000131471",173.14445829083,2.45448017117916,7.6314177277426e-20,18,18,32,2,6,9,17.3647545769232,16.6745722831395,32.8843937557471,2.18678800065602,6.64038635135774,7.74878071454912
"13899","ENSG00000279086",171.214054067268,1.75478797405139,2.15711286202756e-12,528,614,541,88,154,160,509.366134256413,568.788187880425,555.9517819331,96.2186720288647,170.436583018182,137.756101591984
"13906","ENSG00000273599",168.814379750477,4.14748553412876,1.42843785554533e-42,24527,20441,19053,8460,7735,8536,23661.407528233,18935.8295577586,19579.5735696328,9250.11324277495,8560.56473795868,7349.28801993236
"13966","ENSG00000187626",168.240907014452,-1.20168335909353,9.40336057241455e-06,2768,2229,2594,900,703,823,2670.31337049574,2064.86786772877,2665.69116882525,984.054600295207,778.031934167415,708.582947563769
"14002","ENSG00000286207",166.989564411939,1.71845645813849,1.81947052821462e-07,560,514,527,1253,837,1083,540.236809059832,476.151675196316,541.564859664961,1370.02268241099,926.333896014404,932.436612650744
"14028","ENSG00000254815",165.262155944133,1.15416426144076,0.000334917519560607,122,126,85,42,37,61,117.694447688035,116.722005981976,87.3491709137033,45.9225480137763,40.949049166706,52.519513731944
"14064","ENSG00000271918",158.840269202272,-1.01173434086581,0.0002684192300238,390,494,230,725,648,878,376.236349166668,457.624372659495,236.356580119433,792.710650237806,717.161725946635,755.936607486014
"14239","ENSG00000267598",158.153013443487,1.51112019883866,5.63312766584558e-06,32,47,58,1,3,5,30.8706748034189,43.5391609615309,59.6029636822917,1.09339400032801,3.32019317567887,4.30487817474951
"14261","ENSG00000255513",157.752585724838,1.38401215308006,6.79956253518735e-06,1180,1083,1155,2664,1983,2345,1138.35613337607,1003.25343236889,1186.9210871215,2912.80161687381,2194.64768912373,2018.98786395752
"14264","ENSG00000186446",155.83467070681,-1.4278254160324,3.859010666868e-08,39,58,50,16,20,23,37.6236349166668,53.7291773567828,51.3818652433549,17.4943040052481,22.1346211711925,19.8024396038477
"14297","ENSG00000272589",154.995945099647,1.15983965481364,5.24142564739621e-05,3863,4676,2689,9151,7526,9106,3726.66927392523,4331.6833331089,2763.31671278763,10005.6484970016,8329.25794671972,7840.04413185381
"14320","ENSG00000136149",145.762336691281,-1.10695243675676,0.008218457092658,17723,16886,22088,4386,3699,4887,17097.5302981561,15642.6015318385,22698.4527899045,4795.62608543864,4093.79818561204,4207.58792800017
"14405","ENSG00000186272",145.342108872322,-1.33332503792374,4.89338172275237e-07,638,787,614,242,262,377,615.484078893165,729.049354823932,630.969305188398,264.601348079378,289.963537342621,324.587814376113
"14659","ENSG00000279821",145.240493859949,1.18259089450068,6.68942571502565e-05,394,264,199,2,7,1,380.095183517096,244.560393486046,204.499823668552,2.18678800065602,7.74711740991736,0.860975634949902
"14678","ENSG00000162997",142.155062604769,-1.20790635067007,2.88746478901443e-05,125,158,123,215,296,295,120.588573450855,146.365690040891,126.399388498653,235.079710070522,327.592393333648,253.987812310221
"14688","ENSG00000236255",140.517203069567,1.44256159787501,2.17168100945893e-05,139,146,165,33,42,37,134.094493677351,135.249308518798,169.560155303071,36.0820020108243,46.4827044595041,31.8560984931464
"14708","ENSG00000179388",139.991713619536,6.34769306963055,5.41607921428987e-30,65,98,62,11,9,8,62.7060581944447,90.7837824304261,63.7135129017601,12.0273340036081,9.9605795270366,6.88780507959922
"14711","ENSG00000289207",139.372294358095,-1.06392842864368,0.000236653782139714,107,106,127,50,47,57,103.223818873932,98.1947034451547,130.509937718121,54.6697000164004,52.0163597523023,49.0756111921444
"14751","ENSG00000181894",138.977207390591,-1.06323186795418,0.00100531809450939,64,69,62,14,16,34,61.7413496068379,63.9191937520347,63.7135129017601,15.3075160045921,17.707696936954,29.2731715882967
"14752","ENSG00000272512",138.866297746855,1.33678369524006,1.45017697750661e-06,352,343,295,742,544,607,339.577422837608,317.743238506491,303.153004935794,811.298348243382,602.061695856435,522.612210414591
"14761","ENSG00000198342",138.835696110575,-1.09200736230539,0.000411593744232007,144,144,162,49,55,78,138.918036615385,133.396578265116,166.47724338847,53.5763060160724,60.8702082207792,67.1560995260924
"14949","ENSG00000154252",135.814843298933,1.35906315046065,3.8129220096927e-05,33,35,37,78,109,162,31.8353833910258,32.4227794394379,38.0225802800826,85.2847320255846,120.633685382999,139.478052861884
"14963","ENSG00000224420",134.116600233188,1.72989369458142,7.01520693635415e-10,465,553,779,36,77,141,448.589493237182,512.279915143119,800.529460491469,39.3621840118083,85.2182915090909,121.397564527936
"15030","ENSG00000160117",130.361319027011,1.14547947044633,0.000335579402535948,150,145,234,50,40,45,144.706288141026,134.322943391957,240.467129338901,54.6697000164004,44.2692423423849,38.7439035727456
"15083","ENSG00000289579",129.180596942848,1.41322889393138,9.2765674042272e-07,742,668,629,259,256,354,715.813772004277,618.811904729843,646.383864761405,283.189046084954,283.323150991263,304.785374772265
"15108","ENSG00000173917",124.329698866932,3.21953869914766,1.41086387578558e-20,104,69,103,191,162,204,100.329693111112,63.9191937520347,105.846642401311,208.838254062649,179.290431486659,175.63902952978
"15199","ENSG00000223776",119.578294985273,-1.19278303152127,0.000419108655180426,88,128,128,7,8,21,84.8943557094021,118.574736235659,131.537575022989,7.65375800229605,8.85384846847698,18.0804883339479
"15288","ENSG00000122877",117.77222537726,6.43044191315696,3.29951265878161e-25,34,37,67,8,6,5,32.8000919786326,34.27550969312,68.8516994260955,8.74715200262406,6.64038635135774,4.30487817474951
"15335","ENSG00000260830",115.50956817503,-1.09511729996717,0.0012570884654033,7,15,20,4,0,1,6.75296011324789,13.8954769026162,20.552746097342,4.37357600131203,0,0.860975634949902
"15405","ENSG00000233622",112.650190051182,-1.17982679021806,0.000317298691499677,175,176,129,319,293,377,168.824002831197,163.04026232403,132.565212327856,348.792686104634,324.272200157969,324.587814376113
"15484","ENSG00000283824",111.776815294873,1.71780944830078,1.42184622561776e-08,2375,2059,2534,99,94,72,2291.18289556625,1907.38579616579,2604.03293053323,108.246006032473,104.032719504605,61.990245716393
"15590","ENSG00000262202",111.724377145612,6.58054228381115,9.09860384501406e-13,10888,10877,8783,4728,4854,4939,10503.7471018633,10076.0734846505,9025.73844864772,5169.56683355082,5372.07255824841,4252.35866101757
"15659","ENSG00000185955",111.613842635725,1.45326003845078,4.28822500427888e-06,3593,3998,4157,1604,1576,2107,3466.19795527138,3703.60777711065,4271.88827633253,1753.80397652612,1744.20814828997,1814.07566283944
"15732","ENSG00000262587",110.149351290004,-1.3892891216602,1.60912358820679e-05,74,107,101,6,20,35,71.3884354829063,99.1210685719958,103.791367791577,6.56036400196805,22.1346211711925,30.1341472232466
"15744","ENSG00000174599",110.100300246667,-1.05957908695559,0.00204049630784171,6044,5937,5603,2456,2333,2968,5830.69870349575,5499.82975805551,5757.85181917035,2685.37566480559,2582.0035596196,2555.37568453131
"15745","ENSG00000128271",109.801933016939,1.65964617213318,4.87439228169183e-09,3100,2456,4011,704,761,752,2990.59662158121,2275.1527515217,4121.85322982193,769.749376230917,842.222335563873,647.453677482326
"15777","ENSG00000269855",109.531289200917,5.86950887838849,4.54779429971526e-27,37,33,51,11,8,12,35.6942177414532,30.5700491857557,52.409502548222,12.0273340036081,8.85384846847698,10.3317076193988
"15782","ENSG00000181418",109.529867800569,1.91948094935701,1.75100508482875e-08,48,43,64,16,12,23,46.3060122051284,39.8337004541665,65.7687875114943,17.4943040052481,13.2807727027155,19.8024396038477
"15857","ENSG00000258708",108.071565890674,-1.24916330548302,0.000177707225535967,10007,9755,6991,2599,2289,2590,9653.83883618167,9036.69181233476,7184.21239832588,2841.73100685249,2533.30739304298,2229.92689452025
"16000","ENSG00000239653",107.810107382172,2.07770834426645,5.0666950970412e-07,161,187,156,434,319,474,155.318082604702,173.230278719282,160.311419559267,474.532996142355,353.04720768052,408.102450966254
"16022","ENSG00000179954",103.399078671986,1.26785399326424,5.18067089122334e-05,278,255,218,658,552,627,268.188987354702,236.223107344476,224.024932461027,719.453252215829,610.915544324912,539.831723113589
"16098","ENSG00000117425",103.0058239789,1.02588668643789,0.00317062859379634,146,155,201,55,48,76,140.847453790599,143.586594660368,206.555098278287,60.1366700180404,53.1230908108619,65.4341482561926
"16186","ENSG00000269091",102.757673966634,1.35304364350944,0.000754579375984883,90,86,79,174,211,233,86.8237728846158,79.6674009083331,81.1833470845007,190.250556057073,233.52025335608,200.607322943327
"16225","ENSG00000261360",102.64755916676,-1.20748208180218,8.8045591211143e-05,91,90,80,178,230,270,87.7884814722226,83.3728614156974,82.2109843893678,194.624132058385,254.548143468713,232.463421436474
"16408","ENSG00000287865",100.805248556951,-1.33645750967004,2.04262511698016e-05,61,53,48,78,109,129,58.8472238440174,49.0973517225774,49.3265906336207,85.2847320255846,120.633685382999,111.065856908537
"16461","ENSG00000210112",99.7256617273846,1.41190085072878,5.746129290037e-06,15,18,16,0,6,0,14.4706288141026,16.6745722831395,16.4421968778736,0,6.64038635135774,0
"16462","ENSG00000226396",98.9311219168411,1.42902213809868,6.34007838754203e-05,176,187,214,414,358,463,169.788711418804,173.230278719282,219.914383241559,452.665116135795,396.209718964345,398.631718981805
"16478","ENSG00000196338",97.3235495404433,1.08214809236749,0.00177165208805278,115,109,91,242,222,225,110.941487574787,100.973798825678,93.5149947429059,264.601348079378,245.694295000236,193.719517863728
"16490","ENSG00000273820",96.5295201618284,-1.15346182357561,0.000311303087583206,3970,3506,3998,617,630,747,3829.89309279916,3247.83613470483,4108.49394485866,674.624098202381,697.240566892562,643.148799307577
"16561","ENSG00000239559",95.9342631717266,-1.1719764907492,0.00921895376819784,47,40,44,3,10,10,45.3413036175216,37.0546050736433,45.2160414141523,3.28018200098402,11.0673105855962,8.60975634949902
"16704","ENSG00000288612",95.3583637750871,1.30387787425222,0.000383446233368797,37,35,34,12,14,12,35.6942177414532,32.4227794394379,34.9396683654813,13.1207280039361,15.4942348198347,10.3317076193988
"16775","ENSG00000260339",93.5712326869339,-1.00534037933907,0.00414566543906821,650,544,548,194,290,347,627.060581944447,503.942629001549,563.14524306717,212.118436063633,320.952006982291,298.758545327616
"16833","ENSG00000272092",92.9444672229688,-1.12603516667868,0.00203357109730746,45,62,54,7,21,18,43.4118864423079,57.4346378641471,55.4924144628233,7.65375800229605,23.2413522297521,15.4975614290982
"16835","ENSG00000179564",92.2207937437825,1.94666105088723,1.02338726951407e-09,31,29,66,15,17,9,29.9059662158121,26.8645886783914,67.8240621212285,16.4009100049201,18.8144279955136,7.74878071454912
"16837","ENSG00000261068",91.8184120787955,1.94530415585814,3.73622711154777e-10,87,91,99,38,30,41,83.9296471217953,84.2992265425385,101.736093181843,41.5489720124643,33.2019317567887,35.300001032946
"16997","ENSG00000241357",90.1367778078091,1.49533084124815,2.98418846018012e-06,20,37,61,1,5,7,19.2941717521368,34.27550969312,62.685875596893,1.09339400032801,5.53365529279811,6.02682944464931
"17043","ENSG00000165272",89.5140721728448,1.0240215996569,0.00326097743266582,138,138,132,44,69,73,133.129785089744,127.838387504069,135.648124242457,48.1093360144323,76.364443040614,62.8512213513429
"17052","ENSG00000260317",89.1289725056051,1.72754151711291,1.32547083606688e-06,12,16,15,1,2,1,11.5765030512821,14.8218420294573,15.4145595730065,1.09339400032801,2.21346211711925,0.860975634949902
"17230","ENSG00000279908",88.1710813369755,-1.16542547683915,0.000976453290445268,19,12,6,1,0,0,18.32946316453,11.116381522093,6.16582382920259,1.09339400032801,0,0
"17387","ENSG00000268798",87.7436765608925,1.27335696886178,0.000455391201242054,254,320,318,91,121,207,245.035981252138,296.436840589146,326.788662947737,99.4988540298487,133.914458085714,178.22195643463
"17429","ENSG00000129749",87.4746962302496,1.24215554102688,0.000298359223887232,51,37,34,13,8,13,49.2001379679489,34.27550969312,34.9396683654813,14.2141220042641,8.85384846847698,11.1926832543487
"17440","ENSG00000089692",86.1907816527247,3.32656033799308,9.8953121485986e-17,34,44,42,52,99,160,32.8000919786326,40.7600655810076,43.1607668044181,56.8564880170564,109.566374797403,137.756101591984
"17639","ENSG00000204099",85.7148221305711,1.02144100658616,0.00487497097405911,87,90,94,25,41,56,83.9296471217953,83.3728614156974,96.5979066575072,27.3348500082002,45.3759734009445,48.2146355571945
"17661","ENSG00000235217",85.663941632714,2.39815569687961,2.74624839783595e-12,32,25,29,34,62,94,30.8706748034189,23.1591281710271,29.8014818411458,37.1753960111523,68.6173256306966,80.9317096852908
"17687","ENSG00000273888",85.3885903135521,-1.0738929742184,0.00204329051370689,43,50,27,108,83,106,41.4824692670942,46.3182563420541,27.7462072314116,118.086552035425,91.8586778604487,91.2634173046896
"17689","ENSG00000143320",84.8260601371973,2.47806563808438,2.36033222924206e-12,83,98,93,137,172,263,80.0708127713679,90.7837824304261,95.5702693526401,149.794978044937,190.357742072255,226.436591991824
"17761","ENSG00000262903",82.7215263459065,1.05675705509601,0.00562093713177611,376,316,542,41,52,59,362.730428940173,292.731380081782,556.979419237967,44.8291540134483,57.5500150451004,50.7975624620442
"18083","ENSG00000280239",82.4043972764741,1.07504476702055,0.00465563568334125,3,2,2,19,22,4,2.89412576282053,1.85273025368216,2.0552746097342,20.7744860062321,24.3480832883117,3.44390253979961
"19606","ENSG00000213542",82.270599369506,1.80812538567377,6.47989598508427e-08,50,42,34,66,94,104,48.2354293803421,38.9073353273255,34.9396683654813,72.1640040216485,104.032719504605,89.5414660347898
"19720","ENSG00000287707",82.0274266497454,1.05284048522502,0.00908654079307549,116,116,122,58,43,68,111.906196162394,107.458354713566,125.371751193786,63.4168520190244,47.5894355180638,58.5463431765933
"19838","ENSG00000179698",81.2816884996759,1.09218142041628,0.00290589325206622,35,26,52,7,2,4,33.7648005662395,24.0854932978681,53.4371398530891,7.65375800229605,2.21346211711925,3.44390253979961
"19897","ENSG00000144488",80.2226771599785,1.21123418095124,0.000976453290445268,12437,11378,12907,5319,4886,5935,11998.0807040663,10540.1824131978,13263.7146939196,5815.76268774467,5407.48795212232,5109.89039342767
"19945","ENSG00000280422",80.1105475214801,3.16478236842675,6.05639091225799e-18,117,110,102,29,19,51,112.870904750001,101.900163952519,104.819005096444,31.7084260095122,21.0278901126328,43.909757382445
"19997","ENSG00000147174",79.9614576372853,1.84069186085601,2.13570204723982e-07,757,807,980,324,331,383,730.284400818379,747.576657360753,1007.08455876976,354.259656106274,366.327980383235,329.753668185813
"20100","ENSG00000187210",79.042573419556,-1.01186610635501,0.00955899780413067,39,31,31,8,5,5,37.6236349166668,28.7173189320736,31.85675645088,8.74715200262406,5.53365529279811,4.30487817474951
"20104","ENSG00000230069",77.1574624759434,1.04594193751534,0.0170031761375949,2885,3255,2244,677,1233,1220,2783.18427524574,3015.31848786772,2306.01811212177,740.227738222061,1364.59939520401,1050.39027463888
"20118","ENSG00000176236",76.8594559160235,1.20301600931091,0.00124615341123138,55,44,63,2,1,5,53.0589723183763,40.7600655810076,64.7411502066272,2.18678800065602,1.10673105855962,4.30487817474951
"20265","ENSG00000213145",76.2452887827461,1.46813452295548,0.00025020687393655,74,82,84,11,25,13,71.3884354829063,75.9619404009687,86.3215336088362,12.0273340036081,27.6682764639906,11.1926832543487
"21348","ENSG00000107742",76.0766293761838,1.60454312134124,4.69458318340692e-05,22,15,32,1,2,10,21.2235889273505,13.8954769026162,32.8843937557471,1.09339400032801,2.21346211711925,8.60975634949902
"21396","ENSG00000116544",75.6775429092248,-1.21096895111038,0.00682760223839021,3074,2710,2898,999,1274,1136,2965.51419830343,2510.44949373933,2978.09290950485,1092.30060632768,1409.97536860496,978.068321303089
"21405","ENSG00000270964",75.0593680011823,-1.08119551689982,0.00802288236399232,308,303,275,136,130,152,297.130244982907,280.688633432848,282.600258838452,148.701584044609,143.875037612751,130.868296512385
"21407","ENSG00000257512",74.9238208447491,2.08380500167233,4.22466501149671e-08,155,135,156,45,55,62,149.529831079061,125.059292123546,160.311419559267,49.2027300147603,60.8702082207792,53.3804893668939
"21955","ENSG00000068976",74.6802676121855,2.05297524911937,3.82177552608522e-09,513,508,523,232,184,314,494.89550544231,470.59348443527,537.454310445492,253.667408076098,203.638514774971,270.346349374269
"22093","ENSG00000180938",74.6128688968356,-1.76089713437299,1.11456685082524e-06,60,85,82,11,19,29,57.8825152564105,78.741035781492,84.266258999102,12.0273340036081,21.0278901126328,24.9682934135472
"22159","ENSG00000268307",74.569111663115,4.26928994033911,6.76571721125464e-20,155,85,105,43,29,49,149.529831079061,78.741035781492,107.901917011045,47.0159420141043,32.0952006982291,42.1878061125452
"22292","ENSG00000139626",74.2272758474781,1.73375974798738,2.7533555990438e-05,21,14,35,4,0,0,20.2588803397437,12.9691117757752,35.9673056703484,4.37357600131203,0,0
"22295","ENSG00000289092",73.2514541511475,1.44016509526798,5.18360219868695e-05,25,18,45,2,1,2,24.117714690171,16.6745722831395,46.2436787190194,2.18678800065602,1.10673105855962,1.7219512698998
"22332","ENSG00000245975",72.2041690836149,-1.02300465666561,0.00813668671103503,33,40,44,12,8,11,31.8353833910258,37.0546050736433,45.2160414141523,13.1207280039361,8.85384846847698,9.47073198444892
"22373","ENSG00000263874",71.4486534551661,2.37792142380348,2.1484846963397e-10,133,161,104,30,31,49,128.30624215171,149.144785421414,106.874279706178,32.8018200098402,34.3086628153483,42.1878061125452
"23686","ENSG00000271788",70.6587247223162,1.17538627758841,0.00358121870825461,33,28,30,60,48,76,31.8353833910258,25.9382235515503,30.8291191460129,65.6036400196805,53.1230908108619,65.4341482561926
"23725","ENSG00000197566",70.1499814617503,-1.38753450236894,0.00233081867939618,578,544,377,138,270,193,557.601563636755,503.942629001549,387.419263934896,150.888372045265,298.817385811098,166.168297545331
"24114","ENSG00000198331",69.4592633401872,-1.3764974281598,0.000411593744232007,495,523,427,95,170,235,477.530750865387,484.488961337886,438.801129178251,103.872430031161,188.144279955136,202.329274213227
"24600","ENSG00000204666",69.3726912172589,1.70929249013042,6.58123764697832e-06,25,18,19,3,3,2,24.117714690171,16.6745722831395,19.5251087924749,3.28018200098402,3.32019317567887,1.7219512698998
"24875","ENSG00000228242",67.0293607775286,2.34565091627248,1.37623177776112e-10,75,77,73,169,104,231,72.3531440705132,71.3301147667633,75.0175232552981,184.783586055433,115.100030090201,198.885371673427
"25168","ENSG00000260101",66.5516325001997,1.47131305115121,0.000242263988588504,33,36,47,6,17,14,31.8353833910258,33.349144566279,48.2989533287536,6.56036400196805,18.8144279955136,12.0536588892986
"25310","ENSG00000287760",65.2588423772749,-1.17257581211014,0.00269464037208601,185,202,246,56,57,72,178.471088707266,187.125755621899,252.798776997306,61.2300640183684,63.0836703378985,61.990245716393
"25461","ENSG00000271344",64.7801533962488,1.07054135399154,0.0325807662986416,81,82,96,28,36,32,78.1413955961542,75.9619404009687,98.6531812672414,30.6150320091842,39.8423181081464,27.5512203183969
"26195","ENSG00000203709",64.6367704390319,-1.12104981577234,0.00797287243143053,15,14,11,2,0,1,14.4706288141026,12.9691117757752,11.3040103535381,2.18678800065602,0,0.860975634949902
"26658","ENSG00000281183",64.6234179485545,1.16909591262771,0.0367863052544353,128,177,142,30,56,76,123.482699213676,163.966627450872,145.924497291128,32.8018200098402,61.9769392793389,65.4341482561926
"26676","ENSG00000275994",64.2917232410983,-1.04994653228929,0.0241967460610992,27,53,39,65,72,101,26.0471318653847,49.0973517225774,40.0778548898168,71.0706100213205,79.6846362162928,86.9585391299401
"27068","ENSG00000270393",64.1635460388761,1.21238054942607,0.00187986521460257,58,43,68,9,6,18,55.9530980811968,39.8337004541665,69.8793367309626,9.84054600295207,6.64038635135774,15.4975614290982
"27919","ENSG00000198156",64.1376456935565,1.11822316446361,0.009992150895198,109,112,124,24,14,28,105.153236049146,103.752894206201,127.42702580352,26.2414560078722,15.4942348198347,24.1073177785973
"27994","ENSG00000189001",63.3359786080626,1.29500044297209,0.00089979907154873,88,112,39,2,7,15,84.8943557094021,103.752894206201,40.0778548898168,2.18678800065602,7.74711740991736,12.9146345242485
"28071","ENSG00000231083",62.8927712522534,-1.04560165768114,0.0231496895627326,54,23,61,10,15,8,52.0942637307695,21.3063979173449,62.685875596893,10.9339400032801,16.6009658783943,6.88780507959922
"28688","ENSG00000272256",62.2827411858631,1.70699783430319,5.63312766584558e-06,18,28,34,0,0,0,17.3647545769232,25.9382235515503,34.9396683654813,0,0,0
"28866","ENSG00000182308",61.5991269621284,3.23732556878241,4.8785605290703e-14,48,44,54,17,14,26,46.3060122051284,40.7600655810076,55.4924144628233,18.5876980055761,15.4942348198347,22.3853665086975
"28890","ENSG00000277879",61.4236699304073,1.06028703239961,0.0304116045310515,58,74,54,17,19,31,55.9530980811968,68.5510193862401,55.4924144628233,18.5876980055761,21.0278901126328,26.690244683447
"28951","ENSG00000167772",60.9314597109741,1.11466182324654,0.0260056511308717,47,66,43,10,13,16,45.3413036175216,61.1400983715114,44.1884041092852,10.9339400032801,14.3875037612751,13.7756101591984
"29008","ENSG00000289261",59.7261427104364,-1.58694555570391,3.05580383921606e-05,33,35,33,7,13,11,31.8353833910258,32.4227794394379,33.9120310606142,7.65375800229605,14.3875037612751,9.47073198444892
"29122","ENSG00000262050",59.6732315601866,-1.21226711886701,0.00642129957711358,13,7,15,1,0,0,12.5412116388889,6.48455588788758,15.4145595730065,1.09339400032801,0,0
"29136","ENSG00000232303",59.473231800377,1.09600085368959,0.0204020673964963,102,125,95,29,62,59,98.4002759358979,115.795640855135,97.6255439623743,31.7084260095122,68.6173256306966,50.7975624620442
"29455","ENSG00000226421",58.8226873075554,-1.0455581444188,0.0269320056675279,21,21,18,2,7,1,20.2588803397437,19.4536676636627,18.4974714876078,2.18678800065602,7.74711740991736,0.860975634949902
"29670","ENSG00000119737",58.5807472130809,1.52252410710102,0.000385947939648132,45,42,38,4,11,14,43.4118864423079,38.9073353273255,39.0502175849497,4.37357600131203,12.1740416441558,12.0536588892986
"29842","ENSG00000224635",58.4608479500153,1.37262914841804,0.000885987532476548,56,41,30,86,82,81,54.0236809059832,37.9809702004844,30.8291191460129,94.0318840282087,90.751946801889,69.7390264309421
"29919","ENSG00000170458",57.3073689590123,4.02127558805249,6.33140074590813e-14,48,39,32,1,4,3,46.3060122051284,36.1282399468022,32.8843937557471,1.09339400032801,4.42692423423849,2.58292690484971
"30406","ENSG00000279602",55.8786306783342,1.90696168978426,5.15247150805744e-06,24,23,21,4,3,6,23.1530061025642,21.3063979173449,21.5803834022091,4.37357600131203,3.32019317567887,5.16585380969941
"30651","ENSG00000280213",55.7676179722701,1.31854708208357,0.00183386445095239,73,96,82,22,37,56,70.4237268952995,88.9310521767439,84.266258999102,24.0546680072162,40.949049166706,48.2146355571945
"30888","ENSG00000271857",55.6582871300167,-1.10666135286735,0.0276210054614391,94,115,74,13,12,33,90.6826072350432,106.531989586724,76.0451605601652,14.2141220042641,13.2807727027155,28.4121959533468
"31153","ENSG00000184492",55.5216673738143,2.19835849193533,3.87270165068589e-06,14,10,19,1,0,1,13.5059202264958,9.26365126841082,19.5251087924749,1.09339400032801,0,0.860975634949902
"31564","ENSG00000232656",54.8611413403765,2.26297656021563,1.18222348146876e-07,64,68,80,172,134,154,61.7413496068379,62.9928286251936,82.2109843893678,188.063768056417,148.301961846989,132.590247782285
"31659","ENSG00000260368",54.8499780166783,2.93574369519733,1.13672737659047e-11,19,35,40,5,3,14,18.32946316453,32.4227794394379,41.1054921946839,5.46697000164004,3.32019317567887,12.0536588892986
"32043","ENSG00000267898",54.4857672807994,4.70486139629142,1.46740362371408e-16,23,27,38,10,9,10,22.1882975149574,25.0118584247092,39.0502175849497,10.9339400032801,9.9605795270366,8.60975634949902
"32348","ENSG00000171847",54.4437408942902,2.2761282922652,1.5020036022729e-08,72,67,75,36,24,30,69.4590183076926,62.0664634983525,77.0727978650323,39.3621840118083,26.5615454054309,25.8292690484971
"32414","ENSG00000284008",54.2301600346358,1.14388229454151,0.0185530106120838,26,33,16,5,7,0,25.0824232777779,30.5700491857557,16.4421968778736,5.46697000164004,7.74711740991736,0
"32549","ENSG00000257839",54.1722670777751,-1.31510314208328,0.00178763077933356,35,31,26,7,8,12,33.7648005662395,28.7173189320736,26.7185699265445,7.65375800229605,8.85384846847698,10.3317076193988
"32657","ENSG00000276753",53.9365398654491,1.12981120427037,0.0172071280287265,193,132,120,24,28,29,186.18875740812,122.280196743023,123.316476584052,26.2414560078722,30.9884696396694,24.9682934135472
"32778","ENSG00000284602",53.3732447550313,-1.00931151998465,0.0477398807330979,34,50,54,24,13,16,32.8000919786326,46.3182563420541,55.4924144628233,26.2414560078722,14.3875037612751,13.7756101591984
"33296","ENSG00000273297",52.7576727786272,-1.12893757794794,0.0190209517294104,30,28,28,5,6,10,28.9412576282053,25.9382235515503,28.7738445362787,5.46697000164004,6.64038635135774,8.60975634949902
"33330","ENSG00000169962",52.7049971363891,1.01206036692601,0.0305031871991975,215,235,186,40,97,88,207.412346335471,217.695804807654,191.14053870528,43.7357600131203,107.352912680283,75.7658558755914
"33648","ENSG00000284520",52.1726467034954,-1.24255354262437,0.00391042976091182,14,9,18,0,2,1,13.5059202264958,8.33728614156974,18.4974714876078,0,2.21346211711925,0.860975634949902
"33677","ENSG00000143632",51.9808419171993,3.51654760106642,2.19210296193887e-14,75,71,47,16,18,23,72.3531440705132,65.7719240057168,48.2989533287536,17.4943040052481,19.9211590540732,19.8024396038477
